T0,T1,T2,T3,T4,datetime,sentiment
0.03495838389572627,0.0,0.0,0.008481102305554648,0.013975858240734265,2017-01-17 21:14:59,-1
0.03686766837204617,0.0,0.00217033890276188,0.010714601350192046,0.006902128573663162,2017-01-03 16:46:44,1
0.026760283851303076,0.0014846479944635625,0.003352831001304105,0.011905666888466183,0.0,2016-12-12 17:16:40,1
0.024847318465361194,0.009126986716119792,0.00020669713687034987,0.003901299287213623,0.007884354382038794,2016-11-08 23:55:28,1
0.03096063953748889,0.007390802133170308,0.0007070939448537843,0.0,0.002981155013720269,2016-10-30 21:13:14,1
0.03777313144809449,0.0012209398971365416,0.0,0.0,0.0,2016-10-29 03:33:41,-1
0.03317314447875055,0.0,0.00279117149770697,0.0,0.0,2016-10-25 21:57:07,1
0.03132784534278294,0.007811942054338416,0.0,0.0,0.0,2016-10-20 17:56:14,1
0.026692457402468187,0.02695300018414318,0.0,0.0030155989257272973,0.0,2016-09-23 00:23:15,1
0.02877795388231844,0.003578823334645661,0.0,0.0,0.010593858541437478,2016-09-08 07:58:19,1
0.023602158518127653,0.01582675445279488,0.0,0.0,0.011495062359494799,2016-08-30 02:51:48,1
0.032305435919743025,0.0,0.0048617090530549195,0.0,0.00828623280762365,2016-08-29 20:46:38,1
0.01603442726547812,0.005702295401392906,0.002062696320322852,0.02060911042462639,0.0,2016-08-26 22:50:07,1
0.034540323707518535,0.007547190296172896,0.0,0.0063193350482141355,0.0128716105888444,2016-08-18 17:53:56,1
0.04218011429232795,0.0,0.0,0.0,0.0,2016-08-08 20:03:19,1
0.018552780414467587,0.054243853608151975,0.003684402896162102,0.004454554875070136,0.0,2016-08-02 17:23:57,1
0.022420629674185934,0.0015729111855836164,0.000343729025509208,0.029593710228677808,0.009652336076994741,2016-07-25 05:05:55,1
0.03797907686650077,0.008209710496922309,0.0,0.001685361566338424,0.0,2016-07-20 19:19:11,1
0.019950794317892984,0.012491575934539407,0.0008228698374371669,0.0,0.002336777273986385,2016-07-17 22:27:13,1
0.017040287007542218,0.002829584419044198,0.0,0.0023714929305089713,0.005524913825087771,2016-07-05 15:35:17,1
0.017751557977668978,0.013503720281451723,0.0033477413529391545,0.011033169611807985,0.006904851842706934,2016-07-03 18:07:00,-1
0.029682226882644817,0.021821695054205226,0.00041592903226547544,0.0,0.0,2016-07-01 15:27:50,1
0.023574143269049445,0.014562914565889644,0.0,0.010154639760141205,0.0020881134630921414,2016-06-26 13:56:15,-1
0.016327794221356988,0.044385123381033155,0.0012170295698316562,0.0,0.014107823480080828,2016-06-04 23:40:39,1
0.013236554598962929,0.021966668320536235,0.0,0.005463479007087122,0.0010821032102751298,2016-06-01 03:52:58,1
0.02531883481408679,0.004300804055211917,0.0,0.0007456517550508871,0.0,2016-05-14 22:23:58,1
0.02459001857180503,0.007388632020237457,0.004269066140761015,0.0004471357191825654,0.014485962739030347,2016-05-13 15:11:47,1
0.025001768088709776,0.031032914044701855,0.0031813031507955513,0.0,0.007281729406076561,2016-05-04 15:43:59,1
